ISO3,Country,hdicode,continent,region,hdi_rank_2021,co2_prod_2021,gnipc_2021,le_2021,hdi_2021
AFG,Afghanistan,Low,Asia,SA,180,0.312376488,1824.190915,61.9824,0.478
AGO,Angola,Medium,Africa,SSA,148,0.675409733,5465.617791,61.6434,0.586
ALB,Albania,High,Europe,ECA,67,1.575753953,14131.11039,76.4626,0.796
AND,Andorra,Very High,Europe,,40,6.034944671,51166.62661,80.3684,0.858
ARE,United Arab Emirates,Very High,Asia,AS,26,15.19333592,62573.59181,78.7104,0.911
ARG,Argentina,Very High,South America,LAC,47,3.473291552,20925.26814,75.3899,0.842
ARM,Armenia,High,Asia,ECA,85,1.987788379,13157.9939,72.0431,0.759
ATG,Antigua and Barbuda,High,North America,LAC,71,4.395122997,16792.36595,78.4968,0.788
AUS,Australia,Very High,Oceania,,5,15.36837971,49238.43335,84.5265,0.951
AUT,Austria,Very High,Europe,,25,6.732425105,53618.67138,81.5797,0.916
AZE,Azerbaijan,High,Asia,ECA,91,3.720272365,14256.74456,69.3658,0.745
BDI,Burundi,Low,Africa,SSA,187,0.050642582,731.7867086,61.6627,0.426
BEL,Belgium,Very High,Europe,,13,7.226205719,52293.39977,81.8787,0.937
BEN,Benin,Low,Africa,SSA,166,0.552890326,3408.965923,59.821,0.525
BFA,Burkina Faso,Low,Africa,SSA,184,0.189903275,2117.915916,59.2696,0.449
BGD,Bangladesh,Medium,Asia,SA,129,0.563737615,5472.104781,72.3811,0.661
BGR,Bulgaria,High,Europe,,68,5.388845994,23078.95595,71.798,0.795
BHR,Bahrain,Very High,Asia,AS,35,20.54572969,39497.24788,78.7605,0.875
BHS,Bahamas,Very High,North America,LAC,55,5.944655227,30486.18429,71.5983,0.812
BIH,Bosnia and Herzegovina,High,Europe,ECA,74,6.528247977,15241.91465,75.3003,0.78
BLR,Belarus,Very High,Europe,ECA,60,6.07931383,18848.96704,72.438,0.808
BLZ,Belize,Medium,North America,LAC,123,1.465666402,6309.099778,70.4697,0.683
BOL,Bolivia (Plurinational State of),Medium,South America,LAC,118,1.773319863,8111.190194,63.6304,0.692
BRA,Brazil,High,South America,LAC,87,2.198836949,14369.88848,72.7504,0.754
BRB,Barbados,High,North America,LAC,70,3.781470204,12306.341,77.5714,0.79
BRN,Brunei Darussalam,Very High,Asia,EAP,51,23.22054316,64489.53954,74.6424,0.829
BTN,Bhutan,Medium,Asia,SA,127,2.495308499,9437.541512,71.815,0.666
BWA,Botswana,Medium,Africa,SSA,117,2.772080776,16198.31841,61.1409,0.693
CAF,Central African Republic,Low,Africa,SSA,188,0.038906639,966.0586107,53.8947,0.404
CAN,Canada,Very High,North America,,15,14.19693746,46807.98619,82.6565,0.936
CHE,Switzerland,Very High,Europe,,1,3.731913422,66933.00454,83.9872,0.962
CHL,Chile,Very High,South America,LAC,42,4.24621503,24563.24486,78.9435,0.855
CHN,China,High,Asia,EAP,79,7.411735759,17504.39969,78.2107,0.768
CIV,C̫te d'Ivoire,Medium,Africa,SSA,159,0.381780097,5217.448516,58.5983,0.55
CMR,Cameroon,Medium,Africa,SSA,151,0.259524431,3620.932408,60.3334,0.576
COD,Congo (Democratic Republic of the),Low,Africa,SSA,179,0.027660353,1076.098781,59.193,0.479
COG,Congo,Medium,Africa,SSA,153,0.564833429,2889.283521,63.5187,0.571
COL,Colombia,High,South America,LAC,88,1.751176049,14384.35666,72.8296,0.752
COM,Comoros,Medium,Africa,SSA,156,0.29721677,3142.064119,63.4174,0.558
CPV,Cabo Verde,Medium,Africa,SSA,128,0.98910586,6230.200199,74.0518,0.662
CRI,Costa Rica,Very High,North America,LAC,58,1.552260862,19974.27358,77.0232,0.809
CUB,Cuba,High,North America,LAC,83,1.779198659,7878.847482,73.6829,0.764
CYP,Cyprus,Very High,Asia,,29,5.380504059,38188.42152,81.2033,0.896
CZE,Czechia,Very High,Europe,,32,8.215039321,38745.21386,77.7283,0.889
DEU,Germany,Very High,Europe,,9,7.690141865,54534.21682,80.6301,0.942
DJI,Djibouti,Low,Africa,AS,171,0.355728745,5024.993944,62.3049,0.509
DMA,Dominica,High,North America,LAC,102,1.934403912,11487.62422,72.814,0.72
DNK,Denmark,Very High,Europe,,6,4.522442415,60364.78595,81.3753,0.948
DOM,Dominican Republic,High,North America,LAC,80,2.559875589,17989.60037,72.6146,0.767
DZA,Algeria,High,Africa,AS,91,3.534590875,10800.22546,76.3767,0.745
ECU,Ecuador,High,South America,LAC,95,1.753199871,10311.63273,73.67,0.74
EGY,Egypt,High,Africa,AS,97,2.085874268,11731.69056,70.2207,0.731
ERI,Eritrea,Low,Africa,SSA,176,0.203678582,1728.742667,66.5358,0.492
ESP,Spain,Very High,Europe,,27,4.468313378,38353.60164,83.01,0.905
EST,Estonia,Very High,Europe,,31,7.879475476,38048.26372,77.1436,0.89
ETH,Ethiopia,Low,Africa,SSA,175,0.127560389,2361.069604,64.9748,0.498
FIN,Finland,Very High,Europe,,11,7.090703013,49452.16672,82.0381,0.94
FJI,Fiji,High,Oceania,EAP,99,1.554361952,9980.110866,67.114,0.73
FRA,France,Very High,Europe,,28,4.23807293,45937.05273,82.4988,0.903
FSM,Micronesia (Federated States of),Medium,Oceania,EAP,134,1.282352225,3696.173945,70.71,0.628
GAB,Gabon,High,Africa,SSA,112,1.931138222,13366.93455,65.821,0.706
GBR,United Kingdom,Very High,Europe,,18,4.854886819,45224.76564,80.7422,0.929
GEO,Georgia,Very High,Asia,ECA,63,2.498792354,14664.16825,71.694,0.802
GHA,Ghana,Medium,Africa,SSA,133,0.514959318,5744.504017,63.7954,0.632
GIN,Guinea,Low,Africa,SSA,182,0.258436989,2480.887182,58.8922,0.465
GMB,Gambia,Low,Africa,SSA,174,0.206859196,2172.207664,62.083,0.5
GNB,Guinea-Bissau,Low,Africa,SSA,177,0.145716389,1908.24159,59.6523,0.483
GNQ,Equatorial Guinea,Medium,Africa,SSA,145,7.316756772,12073.95993,60.5943,0.596
GRC,Greece,Very High,Europe,,33,5.01149663,29002.48545,80.1106,0.887
GRD,Grenada,High,North America,LAC,68,2.620175431,13483.5774,74.9362,0.795
GTM,Guatemala,Medium,North America,LAC,135,1.05706389,8723.285317,69.2368,0.627
